date,close
2014-08-15,0.93071
2014-08-16,0.9489559999999999
2014-08-17,0.855713
2014-08-18,0.770995
2014-08-19,0.910373
2014-08-20,0.998444
2014-08-21,0.995685
2014-08-22,0.9581709999999999
2014-08-23,0.9221159999999999
2014-08-24,0.9252549999999999
2014-08-25,0.9152290000000001
2014-08-26,0.922175
2014-08-27,0.9115719999999999
2014-08-28,0.878581
2014-08-29,0.821168
2014-08-30,0.831369
2014-08-31,0.798488
2014-09-01,0.7952640000000001
2014-09-02,0.778859
2014-09-03,0.772526
2014-09-04,0.796637
2014-09-05,0.76946
2014-09-06,0.7586149999999999
2014-09-07,0.746084
2014-09-08,0.751039
2014-09-09,0.754632
2014-09-10,0.753382
2014-09-11,0.7467159999999999
2014-09-12,0.762037
2014-09-13,0.7771819999999999
2014-09-14,0.797144
2014-09-15,0.77407
2014-09-16,0.90717
2014-09-17,1.11
2014-09-18,1.02
2014-09-19,0.9697379999999999
2014-09-20,1.02
2014-09-21,1.11
2014-09-22,1.05
2014-09-23,1.05
2014-09-24,1.06
2014-09-25,1.02
2014-09-26,1.05
2014-09-27,1.01
2014-09-28,0.9621790000000001
2014-09-29,0.969872
2014-09-30,0.9816950000000001
2014-10-01,0.995275
2014-10-02,0.924898
2014-10-03,0.902214
2014-10-04,0.8342510000000001
2014-10-05,0.832256
2014-10-06,0.908595
2014-10-07,0.917383
2014-10-08,0.958032
2014-10-09,0.969408
2014-10-10,0.9372860000000001
2014-10-11,0.924007
2014-10-12,0.965266
2014-10-13,0.9762270000000001
2014-10-14,0.9657020000000001
2014-10-15,0.9161370000000001
2014-10-16,0.9000360000000001
2014-10-17,0.918991
2014-10-18,0.892033
2014-10-19,0.889186
2014-10-20,0.864453
2014-10-21,0.8572040000000001
2014-10-22,0.808528
2014-10-23,0.771142
2014-10-24,0.748891
2014-10-25,0.759971
2014-10-26,0.78652
2014-10-27,0.7643340000000001
2014-10-28,0.771915
2014-10-29,0.718109
2014-10-30,0.738737
2014-10-31,0.738288
2014-11-01,0.6787880000000001
2014-11-02,0.694876
2014-11-03,0.672927
2014-11-04,0.6764640000000001
2014-11-05,0.708234
2014-11-06,0.711395
2014-11-07,0.6870470000000001
2014-11-08,0.6854819999999999
2014-11-09,0.703505
2014-11-10,0.688751
2014-11-11,0.6856270000000001
2014-11-12,0.768787
2014-11-13,0.757145
2014-11-14,0.719797
2014-11-15,0.679397
2014-11-16,0.694804
2014-11-17,0.67871
2014-11-18,0.673493
2014-11-19,0.6864600000000001
2014-11-20,0.665144
2014-11-21,0.661092
2014-11-22,0.687181
2014-11-23,0.707829
2014-11-24,0.6975020000000001
2014-11-25,0.687289
2014-11-26,0.678405
2014-11-27,0.673886
2014-11-28,0.6795180000000001
2014-11-29,0.638029
2014-11-30,0.6414340000000001
2014-12-01,0.633876
2014-12-02,0.625343
2014-12-03,0.618315
2014-12-04,0.5724670000000001
2014-12-05,0.574781
2014-12-06,0.5824010000000001
2014-12-07,0.6077020000000001
2014-12-08,0.598075
2014-12-09,0.5764729999999999
2014-12-10,0.583485
2014-12-11,0.589117
2014-12-12,0.575908
2014-12-13,0.572867
2014-12-14,0.581384
2014-12-15,0.576695
2014-12-16,0.489281
2014-12-17,0.487759
2014-12-18,0.46546000000000004
2014-12-19,0.45503000000000005
2014-12-20,0.479725
2014-12-21,0.456242
2014-12-22,0.44778100000000004
2014-12-23,0.448804
2014-12-24,0.421767
2014-12-25,0.42125100000000004
2014-12-26,0.456191
2014-12-27,0.453534
2014-12-28,0.428253
2014-12-29,0.41395600000000005
2014-12-30,0.40523400000000004
2014-12-31,0.41461800000000004
2015-01-01,0.415862
2015-01-02,0.6153069999999999
2015-01-03,0.509081
2015-01-04,0.507556
2015-01-05,0.5508
2015-01-06,0.532632
2015-01-07,0.536187
2015-01-08,0.49823900000000004
2015-01-09,0.49143000000000003
2015-01-10,0.471171
2015-01-11,0.457265
2015-01-12,0.46170900000000004
2015-01-13,0.410955
2015-01-14,0.363655
2015-01-15,0.42197299999999993
2015-01-16,0.413235
2015-01-17,0.402079
2015-01-18,0.426332
2015-01-19,0.432775
2015-01-20,0.414891
2015-01-21,0.455845
2015-01-22,0.46048999999999995
2015-01-23,0.49275399999999997
2015-01-24,0.538175
2015-01-25,0.6083609999999999
2015-01-26,0.68783
2015-01-27,0.595109
2015-01-28,0.5079670000000001
2015-01-29,0.5039939999999999
2015-01-30,0.48498100000000005
2015-01-31,0.463595
2015-02-01,0.477062
2015-02-02,0.487655
2015-02-03,0.524284
2015-02-04,0.510184
2015-02-05,0.49667799999999995
2015-02-06,0.49342299999999994
2015-02-07,0.49877299999999997
2015-02-08,0.492098
2015-02-09,0.508792
2015-02-10,0.508612
2015-02-11,0.501365
2015-02-12,0.5417890000000001
2015-02-13,0.8061520000000001
2015-02-14,0.818736
2015-02-15,0.6785399999999999
2015-02-16,0.671471
2015-02-17,0.696479
2015-02-18,0.671802
2015-02-19,0.672029
2015-02-20,0.690658
2015-02-21,0.704432
2015-02-22,0.6458229999999999
2015-02-23,0.668166
2015-02-24,0.6792020000000001
2015-02-25,0.687546
2015-02-26,0.688516
2015-02-27,0.702675
2015-02-28,0.701412
2015-03-01,0.713229
2015-03-02,0.704064
2015-03-03,0.689928
2015-03-04,0.680096
2015-03-05,0.707274
2015-03-06,0.7000270000000001
2015-03-07,0.688537
2015-03-08,0.709403
2015-03-09,0.696128
2015-03-10,0.6946100000000001
2015-03-11,0.693181
2015-03-12,0.705933
2015-03-13,0.6768109999999999
2015-03-14,0.67061
2015-03-15,0.655586
2015-03-16,0.654107
2015-03-17,0.63092
2015-03-18,0.554761
2015-03-19,0.566783
2015-03-20,0.558417
2015-03-21,0.5683060000000001
2015-03-22,0.598075
2015-03-23,0.575869
2015-03-24,0.528931
2015-03-25,0.519917
2015-03-26,0.535087
2015-03-27,0.530931
2015-03-28,0.5516949999999999
2015-03-29,0.544936
2015-03-30,0.55528
2015-03-31,0.552221
2015-04-01,0.561874
2015-04-02,0.5662229999999999
2015-04-03,0.572126
2015-04-04,0.548951
2015-04-05,0.534041
2015-04-06,0.524934
2015-04-07,0.49250299999999997
2015-04-08,0.47018000000000004
2015-04-09,0.46278800000000003
2015-04-10,0.43781000000000003
2015-04-11,0.436001
2015-04-12,0.429779
2015-04-13,0.428263
2015-04-14,0.416501
2015-04-15,0.41123000000000004
2015-04-16,0.442184
2015-04-17,0.429741
2015-04-18,0.42996999999999996
2015-04-19,0.424461
2015-04-20,0.417921
2015-04-21,0.43200900000000003
2015-04-22,0.44607700000000006
2015-04-23,0.435191
2015-04-24,0.42524700000000004
2015-04-25,0.43207700000000004
2015-04-26,0.420019
2015-04-27,0.431987
2015-04-28,0.43536400000000003
2015-04-29,0.43131499999999995
2015-04-30,0.446712
2015-05-01,0.447884
2015-05-02,0.43828900000000004
2015-05-03,0.46337799999999996
2015-05-04,0.440229
2015-05-05,0.441096
2015-05-06,0.431221
2015-05-07,0.417973
2015-05-08,0.418837
2015-05-09,0.397781
2015-05-10,0.406932
2015-05-11,0.404362
2015-05-12,0.404818
2015-05-13,0.400282
2015-05-14,0.402238
2015-05-15,0.404694
2015-05-16,0.395391
2015-05-17,0.397471
2015-05-18,0.391436
2015-05-19,0.416838
2015-05-20,0.41986
2015-05-21,0.41172700000000007
2015-05-22,0.429825
2015-05-23,0.425469
2015-05-24,0.422808
2015-05-25,0.41607700000000003
2015-05-26,0.415546
2015-05-27,0.40865
2015-05-28,0.411948
2015-05-29,0.40698
2015-05-30,0.405037
2015-05-31,0.401908
2015-06-01,0.377797
